accession,short_name
MZ560149.1,Peristernia_reinca
KT753980.1,Peristernia_gemmat
KT753957.1,Peristernia_nassat
KT753904.1,Peristernia_forska
KT753914.1,Peristernia_marque
HM431881.1,Penion_chathamensi
KT754003.1,Triplofusus_gigant
KT754011.1,Cinctura_hunteria
KT753988.1,Fasciolaria_bullis
JQ950211.1,Serratifusus_linea
KT753954.1,Fasciolaria_tulipa
KT754000.1,Aristofusus_excava
KT753975.1,Fusinus_salisburyi
KT753940.1,Fusinus_forceps
KT753974.1,Hemipolygona_armat
KT753994.1,Leucozonia_nassa
KT753978.1,Leucozonia_ocellat
JQ950201.1,Belomitra_caudata
JQ950231.1,Belomitra_paschali
KY451220.1,Buccinastrum_defor
KY451221.1,Buccinanops_cochli
AB183328.1,Buccinum_striatiss
AB498778.1,Neptunea_arthritic
AB498775.1,Neptunea_polycosta
MW077017.1,Busycon_carica
MW077023.1,Fulguropsis_pyrulo
KY451269.1,Chauvetia_candidis
OZ240484.1,Colus_islandicus
FM999178.1,Colubraria_reticul
KT754022.1,Mitrella_scripta
HM180684.1,Mitrella_bicincta
MH581380.1,Tonna_sulcosa
MH581378.1,Tonna_galea
KT753938.1,Dolicholatirus_lan
KT753936.1,Dolicholatirus_spi
KC756048.1,Eosipho_smithi
KC756032.1,Manaria_kuroharai
MN322468.1,Melongena_melongen
AY885128.1,Melongena_patula
KY451284.1,Nassarius_conoidal
KY451360.1,Nassarius_semisulc
KY451406.1,Antillophos_beauii
MW077025.1,Pisania_pusio
MW077012.1,Engina_mendicaria
MW077033.1,Clivipollia_pulchr
MW077031.1,Caducifer_decapita
KT753949.1,Euthria_cumulata
KP694157.1,Buccinulum_linea
HM180636.1,Kelletia_lischkei
