accession,short_name
KT754072.1,Peristernia_reinca
KT754110.1,Peristernia_gemmat
KT754088.1,Peristernia_nassat
KT754045.1,Peristernia_marque
KT754034.1,Peristernia_forska
MW057489.1,Serratifusus_linea
KT754132.1,Triplofusus_gigant
KT754140.1,Cinctura_hunteria
KT754085.1,Fasciolaria_tulipa
KT754118.1,Fasciolaria_bullis
KT754129.1,Aristofusus_excava
KT754105.1,Fusinus_salisburyi
KT754071.1,Fusinus_forceps
KT754104.1,Hemipolygona_armat
KT754148.1,Leucozonia_nassa
KT754108.1,Leucozonia_ocellat
KY489294.1,Buccinastrum_defor
KY489295.1,Buccinanops_cochli
LC415350.1,Japeuthria_ferrea
MW057529.1,Busycon_carica
MW057537.1,Fulguropsis_pyrulo
KT754151.1,Mitrella_scripta
HQ834136.1,Mitrella_bicincta
KT754069.1,Dolicholatirus_lan
KT754067.1,Dolicholatirus_spi
MW057494.1,Manaria_kuroharai
MN322542.1,Melongena_melongen
HQ834165.1,Nassarius_conoidal
KY489355.1,Nassarius_semisulc
KY489371.1,Antillophos_beauii
MW057540.1,Pisania_pusio
MW057523.1,Engina_mendicaria
MW057548.1,Clivipollia_pulchr
MW057546.1,Caducifer_decapita
KT754080.1,Euthria_cumulata
MW057509.1,Euthria_walleri
